seed,fold,generation,best_fitness,mean_fitness,unique,best_rule
0,2,7,0.626539654749888,0.3452256862817496,58,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,8,0.626539654749888,0.40954641011660053,56,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,9,0.626539654749888,0.4058984666341502,55,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,10,0.626539654749888,0.3287286101797493,52,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,11,0.626539654749888,0.24433999616376384,54,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,12,0.626539654749888,0.40552163371075867,51,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,13,0.626539654749888,0.3175854058373218,50,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,14,0.626539654749888,0.39779534120143134,48,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,15,0.626539654749888,0.30037475976512423,51,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
0,2,16,0.626539654749888,0.38929829419275586,53,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.8)
